,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_otherstate,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,closed_at_year,closed_at_month,first_funding_at_year
24,0,0,0,5,2,455000,0,1,1,0,0,0,4,1,0,2010,1,2007
25,4,1,1,3,1,13000000,1,1,0,0,1,0,4,1,1,2024,11,2006
26,4,3,3,7,1,15000000,1,0,0,0,1,0,4,1,1,2024,11,2007
27,4,3,5,2,1,3800000,3,0,0,1,0,0,2,1,1,2024,11,2012
28,4,4,5,37,5,299500000,2,0,1,0,1,0,1,1,1,2024,11,2009
29,1,2,7,5,1,1000000,3,0,0,0,0,0,2,1,1,2024,11,2006
30,2,4,4,3,2,10500000,1,0,1,1,0,0,2,1,0,2024,11,2008
31,5,3,3,6,2,8600000,1,1,0,1,0,0,1,1,1,2024,11,2005
32,2,0,0,9,2,5000000,0,1,1,1,0,0,2,1,0,2024,11,2006
33,0,0,2,3,2,2304999,2,0,0,0,0,0,5,1,1,2024,11,2011
34,0,0,0,2,1,25000,0,1,0,0,0,0,1,0,0,2024,11,2009
35,2,0,0,1,1,4000000,1,0,0,1,0,0,1,1,0,2008,1,2007
36,1,1,4,8,2,14600000,3,0,1,1,0,0,2,1,0,2024,11,2007
37,5,0,0,0,3,44000000,0,0,0,1,1,0,4,1,0,2013,1,2006
38,2,0,4,10,3,1822922,3,0,1,0,0,0,2,1,1,2024,11,2008
39,5,3,7,18,7,29915001,5,0,1,1,1,0,2,1,1,2024,11,2006
40,4,3,7,26,4,33000000,5,1,1,1,1,0,3,1,1,2024,11,2006
41,0,0,0,9,2,125000,2,1,0,0,0,0,1,0,1,2024,11,2011
42,2,2,2,7,2,4000000,2,0,1,0,0,0,1,1,0,2024,11,2008
43,3,5,8,10,1,10000000,3,1,0,0,1,0,2,1,1,2024,11,2007
44,4,8,10,25,1,6000000,4,0,0,0,1,0,3,1,1,2024,11,2006
45,2,0,0,4,1,25000000,0,0,0,1,0,0,5,1,1,2024,11,2005
46,2,0,2,2,3,3750000,3,0,1,0,0,0,2,1,1,2024,11,2010
47,0,1,1,9,1,3000000,2,0,1,0,0,0,1,1,1,2024,11,2010
48,1,1,1,6,2,1155000,2,0,0,0,0,0,9,1,1,2024,11,2010
49,3,5,7,11,1,10000000,2,0,0,0,0,1,2,1,1,2024,11,2005
50,2,2,2,5,1,3000000,1,0,1,0,0,0,1,1,1,2024,11,2008
51,2,2,3,4,2,11500000,3,0,0,0,0,0,1,1,1,2024,11,2010
52,0,4,8,12,1,5000000,5,0,1,0,0,0,3,1,1,2024,11,2005
53,6,7,7,9,2,29000000,1,0,0,0,0,1,5,1,1,2024,11,2005
54,6,4,7,37,6,34700000,4,0,1,1,1,1,5,1,1,2024,11,2007
55,3,0,0,0,2,12050000,0,0,1,0,0,0,2,1,0,2009,1,2005
56,4,4,6,13,3,12000000,2,0,1,1,0,0,2,1,1,2024,11,2008
57,4,1,1,18,1,5500000,1,0,0,0,1,0,2,1,1,2024,11,2009
58,4,2,5,10,3,24000000,4,0,1,1,0,0,3,1,1,2024,11,2009
59,6,7,12,6,2,10000000,2,1,1,1,0,0,4,1,1,2024,11,2005
60,10,-1,-1,10,3,19009671,1,0,0,1,0,0,2,1,0,2011,11,2002
61,3,3,3,6,1,5000000,1,0,1,0,0,0,1,1,0,2024,11,2008
62,9,6,6,2,5,18914576,1,1,0,0,1,0,3,1,1,2024,11,2005
63,6,0,0,0,1,4000000,0,1,0,0,0,0,3,0,0,2012,1,2007
64,2,1,3,5,3,2030882,2,0,1,0,0,0,3,1,1,2024,11,2010
65,2,0,7,4,1,5000000,2,0,0,1,0,0,1,1,1,2024,11,2008
66,1,0,0,5,1,20500000,0,1,0,0,0,0,4,1,0,2012,1,2001
67,6,4,7,4,2,13250000,4,1,0,0,0,0,2,0,1,2024,11,2010
68,7,7,7,7,1,12000000,1,0,0,0,0,0,2,1,1,2024,11,2007
69,3,3,3,9,3,11489687,2,0,1,1,0,0,3,1,1,2024,11,2007
70,0,2,4,15,1,4000000,3,0,1,0,0,0,3,1,1,2024,11,2008
71,0,0,0,3,1,355000,1,0,0,0,0,0,1,0,1,2024,11,2012
72,0,2,5,10,2,118000,3,1,0,0,0,0,1,1,1,2024,11,2006
73,9,7,10,17,4,40400000,3,0,1,1,1,1,1,1,1,2001,1,2004
74,1,0,0,1,1,3000000,0,0,1,0,0,0,1,1,0,2024,11,2008
75,4,1,1,2,2,19700000,1,0,0,1,0,0,4,1,0,2008,7,2005
76,9,0,0,0,2,17800000,0,0,0,0,0,0,1,1,0,2011,1,2007
77,2,3,3,12,3,57500000,3,0,1,1,0,0,4,1,1,2024,11,2010
78,3,2,5,10,3,17200000,5,0,1,1,1,0,2,1,1,2024,11,2006
79,1,0,1,4,7,457282,2,0,0,0,0,0,1,1,0,2013,1,2008
80,2,2,3,11,4,18500000,3,0,1,1,0,0,2,1,1,2024,11,2010
81,2,0,0,2,1,12000000,0,1,1,0,0,0,6,1,0,2024,11,2010
82,3,3,4,5,2,510000000,3,1,0,0,0,0,2,1,0,2012,1,2010
83,4,4,4,3,2,18250000,1,0,1,1,0,0,2,1,1,2024,11,2005
84,5,3,7,13,4,41500019,5,0,0,0,1,0,4,1,1,2024,11,2006
85,5,0,0,1,1,1000000,0,1,1,0,0,0,3,0,0,2024,11,2005
86,1,1,2,7,1,5000000,2,0,1,0,0,0,1,1,1,2024,11,2007
87,10,0,0,2,3,42700000,1,1,0,1,0,0,3,1,0,2013,1,2008
88,0,0,0,7,1,12000000,0,0,0,0,0,0,9,1,0,2005,1,2013
89,3,3,9,5,2,22300000,2,1,0,1,1,0,4,1,1,2024,11,2005
90,7,0,0,5,2,10000000,1,0,0,1,0,0,4,1,1,2024,11,2006
91,4,0,0,1,3,15564591,0,1,0,1,1,0,3,1,0,2010,4,2006
92,2,2,4,7,1,500000,2,0,0,0,0,0,5,1,1,2024,11,2009
93,1,1,2,24,2,8950000,2,0,1,0,0,0,7,1,1,2024,11,2011
94,4,4,4,8,4,55350000,2,0,1,1,1,1,4,1,1,2024,11,2007
95,3,0,0,1,1,4000000,0,0,0,1,0,0,3,1,0,2024,11,2005
96,6,3,4,3,5,10764323,3,1,1,0,0,0,2,1,1,2024,11,2007
97,1,0,0,1,1,5500000,1,1,0,0,0,0,3,1,0,2012,11,2008
98,4,2,5,7,1,400000,2,0,0,0,0,0,3,1,1,2024,11,2012
99,3,0,0,3,3,54000000,0,0,0,0,1,0,2,1,0,2013,10,2007
100,20,0,0,2,1,32000000,0,1,0,1,0,0,7,1,0,2009,3,2005
101,5,0,0,1,1,13000000,0,1,0,0,0,1,4,1,1,2024,11,2005
102,1,0,0,5,3,12500000,0,1,1,1,0,0,2,1,1,2024,11,2005
103,8,1,8,16,4,38064570,2,0,0,1,1,1,3,1,1,2024,11,2006
104,1,2,4,21,2,6000000,2,0,1,0,0,0,4,1,1,2011,1,2007
105,4,0,5,4,2,5000000,6,1,1,1,0,0,1,0,0,2012,1,2008
106,7,6,10,9,3,59000000,3,1,0,0,1,0,2,1,1,2024,11,2000
107,1,0,1,2,1,1000000,2,1,0,0,0,0,1,0,0,2013,1,2012
108,2,0,6,5,1,600000,3,0,0,0,0,0,7,1,1,2024,11,2009
109,3,3,3,0,2,125000000,2,1,1,1,0,0,2,1,0,2012,1,2008
110,2,3,6,11,2,2750000,3,0,1,0,0,0,4,1,1,2024,11,2007
111,4,0,0,1,2,30000000,0,0,1,1,0,0,2,1,1,2024,11,2005
112,4,0,0,0,1,7000000,0,0,0,0,1,0,1,0,0,2012,7,2007
113,0,0,2,10,1,6100000,2,0,0,1,0,0,4,1,1,2024,11,2006
114,1,2,2,12,3,2100000,2,0,0,0,0,0,4,1,0,2013,8,2011
115,0,0,3,10,2,2565000,3,0,1,0,0,0,3,1,1,2024,11,2009
116,10,0,0,0,1,2000000,0,0,0,0,0,0,1,0,0,2012,3,2007
117,5,2,2,3,3,22400000,1,1,0,1,1,0,3,1,1,2024,11,2005
118,1,6,6,12,1,6250000,1,0,1,0,0,0,1,0,1,2024,11,2006
119,1,1,2,4,1,575000,2,0,0,0,0,0,6,0,1,2024,11,2011
120,0,0,0,1,2,53000,1,0,0,0,0,0,1,1,0,2012,1,2009
121,2,3,3,6,2,9500000,2,0,1,1,0,0,2,1,1,2024,11,2006
122,0,-1,0,7,2,3500000,2,0,1,0,0,0,1,1,0,2013,1,2009
123,1,0,3,14,3,10500000,3,0,1,0,0,0,6,1,1,2024,11,2010
124,4,2,4,14,4,34250000,2,0,1,1,1,0,2,1,1,2024,11,2008
125,4,0,0,2,5,85381111,0,0,1,1,1,0,4,1,1,2024,11,2006
126,7,8,11,6,3,100000000,3,1,1,0,0,0,2,1,1,2024,11,2006
127,1,0,1,3,2,125000,2,1,0,0,0,0,1,1,0,2013,1,2008
128,4,0,0,2,2,10600000,1,1,0,1,0,0,3,1,0,2008,1,2005
129,5,2,2,2,3,26100000,1,0,0,1,0,0,3,1,1,2024,11,2006
130,7,10,10,2,1,30000000,1,0,0,0,0,0,5,1,1,2024,11,2007
131,1,1,1,6,3,132885,2,1,0,0,0,0,1,1,0,2012,3,2011
132,4,0,4,9,3,9500000,2,0,1,1,1,0,2,1,1,2024,11,2007
133,6,6,6,9,1,18000000,1,0,0,0,0,0,7,1,1,2024,11,2006
134,1,1,1,4,1,690000,1,1,0,0,0,0,3,1,0,2012,1,2011
135,6,0,0,1,3,25131611,0,1,0,1,0,0,1,1,1,2024,11,2006
136,3,0,0,1,1,2000000,0,0,0,0,0,0,1,1,0,2013,1,2010
137,6,5,7,4,3,78750000,2,0,1,1,0,0,3,1,1,2024,11,2005
138,4,3,6,27,5,48500000,3,0,1,1,1,0,2,1,1,2024,11,2007
139,0,5,8,12,1,15000000,2,0,1,0,0,0,3,0,0,2024,11,2005
140,5,0,0,13,5,74000000,0,0,0,1,1,0,5,1,1,2024,11,2007
141,2,2,2,6,2,15000000,1,0,1,1,0,0,3,1,1,2024,11,2005
142,3,3,5,8,3,45000000,3,0,1,0,0,0,1,0,0,2024,11,2006
143,1,2,2,4,1,4410000,1,0,1,0,0,0,1,1,1,2024,11,2008
144,0,2,2,9,2,4500000,2,1,1,1,0,0,2,1,1,2024,11,2010
145,3,4,5,11,3,11040000,2,0,1,1,1,0,2,1,1,2024,11,2008
146,1,1,2,6,1,1600000,2,0,1,0,0,0,3,1,1,2024,11,2010
147,3,7,7,3,2,9000000,1,0,0,1,0,0,4,1,1,2024,11,2005
148,2,0,3,4,3,3282327,2,0,0,0,0,0,2,1,1,2024,11,2011
149,4,5,11,5,2,24700000,5,0,1,1,0,0,4,1,1,2024,11,2006
150,6,0,0,2,2,8800000,0,1,1,0,0,0,1,1,0,2024,11,2007
151,1,0,0,1,1,1700000,1,0,1,0,0,0,1,0,0,2024,11,2008
152,0,0,0,1,1,20000,2,0,0,0,0,0,1,0,0,2013,1,2010
153,4,5,8,10,2,11500000,5,0,1,1,0,0,2,1,1,2024,11,2008
154,9,4,11,12,7,98170000,3,0,0,1,1,1,5,1,0,2012,1,2003
155,1,0,2,2,1,1350000,3,0,0,0,0,0,10,1,1,2024,11,2011
156,4,2,6,17,1,940261,2,1,1,0,0,0,1,1,1,2024,11,2010
157,3,3,3,12,2,4000000,3,0,1,0,0,0,3,1,1,2024,11,2009
158,1,1,1,5,1,5000000,1,0,1,0,0,0,1,0,0,2012,6,2009
159,0,0,0,3,1,20000,1,1,0,0,0,0,1,0,0,2012,6,2009
160,4,3,3,5,1,12500000,1,1,0,1,0,0,3,1,1,2024,11,2006
161,4,1,1,0,5,7228704,2,1,1,0,0,0,2,1,0,2013,1,2010
162,5,5,5,5,2,55000000,1,1,0,1,0,0,4,1,0,2013,1,2010
163,6,0,0,5,4,15180000,0,0,1,0,1,0,1,1,1,2024,11,2006
164,3,2,4,4,2,30000000,2,0,1,1,0,0,2,1,0,2012,1,2010
165,2,3,4,11,2,14500000,3,0,1,1,0,0,1,1,1,2024,11,2008
166,2,2,4,6,1,6500000,3,0,0,0,0,0,3,1,1,2024,11,2011
167,0,0,0,2,1,15000,1,1,0,0,0,0,1,0,0,2013,1,2012
168,3,1,4,5,5,4705910,3,0,0,0,0,0,3,1,1,2024,11,2010
169,2,3,4,6,1,3000000,2,0,0,0,0,0,1,1,1,2024,11,2010
170,4,3,6,30,6,125250000,5,0,1,1,1,1,3,1,1,2024,11,2007
171,4,2,3,8,4,1449998,3,0,0,0,0,0,1,1,0,2013,1,2008
172,1,0,2,5,2,6000000,3,0,1,0,0,0,6,1,1,2024,11,2011
173,6,0,0,7,3,28200000,0,1,0,1,1,0,3,1,1,2024,11,2007
174,4,5,5,5,2,14000000,1,0,1,0,0,0,2,1,1,2024,11,2008
175,1,2,2,14,1,3000000,2,0,1,0,0,0,1,0,0,2009,1,2009
176,1,0,0,6,2,2238055,1,1,0,0,0,0,1,1,0,2013,1,2011
177,2,1,2,5,2,5200000,2,0,1,0,0,0,1,1,0,2013,1,2011
178,3,1,3,4,1,75000000,4,1,0,0,0,0,1,0,1,2024,11,2013
179,3,4,5,13,4,24500000,4,0,1,1,1,0,2,1,0,2012,2,2007
180,8,0,0,3,3,4476171,0,0,1,0,0,0,2,1,0,2012,1,2006
181,2,2,5,21,3,10400001,3,0,1,1,0,0,6,1,1,2024,11,2008
182,7,5,5,8,3,68400000,1,1,0,0,1,1,6,1,1,2024,11,2006
183,4,0,0,13,2,15200000,0,0,1,1,0,0,2,1,1,2024,11,2006
184,1,0,0,2,2,890000,0,0,0,0,0,0,3,1,0,2013,1,2011
185,10,0,0,0,1,2600000,0,0,0,0,0,0,1,1,0,2012,1,2011
186,3,3,4,7,1,1226270,2,1,0,0,0,0,1,1,1,2024,11,2012
187,8,6,6,5,2,9000000,1,0,1,1,0,0,1,0,1,2024,11,2008
188,8,6,6,4,4,7210210,1,0,1,1,0,0,1,0,1,2024,11,2008
189,1,0,0,15,2,15700000,1,0,1,0,0,0,3,1,1,2024,11,2011
190,6,5,5,4,2,15050000,1,0,0,0,1,0,2,1,1,2024,11,2005
191,2,1,4,5,2,3500000,2,0,1,1,0,0,3,1,1,2024,11,2007
192,7,5,5,2,2,43000000,1,0,0,0,1,1,1,1,0,2009,1,2006
193,3,3,5,7,2,57000000,2,0,1,1,0,0,3,1,1,2024,11,2006
194,0,0,4,8,1,1300000,4,0,0,0,0,0,4,1,1,2024,11,2008
195,4,4,9,15,4,69750000,4,0,1,1,1,1,5,1,1,2024,11,2005
196,5,9,10,16,2,14500000,2,0,0,1,0,0,2,1,1,2024,11,2004
197,5,0,0,2,2,48000000,0,0,0,0,1,1,6,1,0,2024,11,2006
198,5,0,0,3,2,3508462,0,1,1,0,0,0,3,1,0,2024,11,2009
199,5,7,7,10,3,19500000,1,0,1,1,0,0,3,1,1,2024,11,2005
200,0,1,1,5,1,3750000,3,0,0,0,0,0,9,1,1,2024,11,2012
201,0,0,0,1,1,45000000,0,1,0,0,0,0,2,0,0,2011,1,2010
202,5,4,7,8,4,32500000,3,1,1,1,1,1,2,1,0,2013,1,2006
203,8,5,13,4,2,4900000,5,1,0,1,0,0,1,1,1,2024,11,2002
204,3,3,4,4,2,12000000,3,0,0,1,1,0,2,1,0,2011,3,2007
205,2,4,6,12,3,7175000,6,0,1,1,0,0,2,1,1,2024,11,2006
206,1,0,5,3,2,4700000,4,0,1,0,0,0,1,1,0,2024,11,2007
207,0,0,0,3,1,120000,0,0,0,0,0,0,2,0,0,2010,1,2008
208,8,5,6,10,3,10000000,2,0,0,1,0,0,1,0,1,2024,11,2007
209,10,0,0,0,4,39000000,0,0,1,0,0,0,3,0,0,2013,1,2005
210,4,0,0,3,2,16100000,0,0,0,1,1,0,2,1,1,2024,11,2005
211,2,2,5,4,2,3300000,3,0,1,0,0,0,2,1,1,2024,11,2007
212,1,1,1,6,1,750000,3,0,0,0,0,0,9,1,1,2024,11,2010
213,2,0,0,0,2,1000000,0,1,0,0,0,0,2,0,0,2012,6,2008
214,11,0,0,3,1,7410000,0,0,0,0,0,0,3,1,0,2024,11,2007
215,10,0,0,5,3,52800000,0,0,0,0,1,0,5,1,1,2024,11,2006
216,9,9,12,33,3,37000000,4,0,1,1,1,0,1,1,0,2011,1,2005
217,3,2,3,14,3,14229998,3,0,1,1,0,0,3,1,1,2024,11,2009
218,2,0,2,7,2,3000000,2,0,1,1,0,0,2,1,1,2024,11,2009
219,4,6,6,10,1,20000000,1,0,1,0,0,0,1,0,1,2024,11,2009
220,2,1,2,6,2,2000000,3,1,0,0,0,0,1,1,1,2024,11,2009
221,6,9,9,3,2,19900000,2,1,0,1,0,0,2,1,1,2024,11,2006
222,1,2,2,6,1,1500000,1,0,0,0,0,0,1,0,0,2009,1,2007
223,0,1,1,4,1,325000,1,0,0,0,0,0,4,0,0,2011,9,2009
224,0,1,1,16,1,3500000,2,0,1,0,0,0,5,1,0,2012,1,2011
225,4,1,4,7,4,30000000,2,1,1,1,0,0,2,1,0,2024,11,2006
226,4,0,0,1,1,50000000,0,0,0,0,0,1,6,1,1,2024,11,2007
227,1,1,1,5,1,2000000,2,0,1,0,0,0,3,1,1,2024,11,2009
228,5,6,8,25,6,72000000,2,0,1,1,1,1,2,1,1,2024,11,2006
229,5,8,8,4,3,27690547,1,0,0,1,1,1,4,1,1,2024,11,2005
230,2,0,0,32,1,9000000,0,0,0,1,0,0,4,1,0,2024,11,2006
231,1,3,4,12,2,7500000,3,0,1,0,0,0,3,1,1,2024,11,2008
232,1,3,3,9,2,10000000,1,0,1,0,0,0,2,1,1,2024,11,2007
233,6,2,2,7,4,5965000,1,0,1,0,0,0,1,0,1,2024,11,2007
234,0,0,7,9,1,4000000,4,0,1,0,0,0,1,0,1,2024,11,2006
235,5,7,7,2,1,5000000,1,1,0,0,0,0,1,0,0,2013,1,2008
236,1,5,7,15,1,11500000,2,0,1,0,0,0,2,1,1,2024,11,2005
237,2,1,1,2,2,1050000,1,1,0,0,0,0,1,0,0,2013,1,2010
238,1,1,3,13,2,5500000,2,0,1,0,0,0,2,1,1,2024,11,2008
239,2,1,3,17,3,5000000,4,1,1,0,0,0,1,1,1,2024,11,2007
240,0,-1,1,11,2,3700000,3,0,0,0,0,0,3,0,0,2013,1,2009
241,3,0,0,4,2,7000000,0,0,1,0,0,0,2,0,0,2011,1,2007
242,2,2,3,14,2,32000000,4,0,1,1,0,0,3,1,0,2024,11,2006
243,4,2,3,8,3,7900000,2,0,1,0,0,0,2,0,1,2024,11,2007
244,6,2,7,16,5,80000000,3,0,1,1,1,1,2,1,1,2024,11,2006
245,4,0,0,1,1,5000000,1,0,0,0,0,0,1,1,0,2012,8,2009
246,3,2,7,5,2,2100000,3,1,1,0,0,0,1,1,1,2024,11,2007
247,4,3,3,6,4,22250000,1,1,1,1,1,1,2,1,1,2024,11,2005
248,1,-14,2,6,2,1975000,2,1,0,0,0,0,3,0,1,2024,11,2011
249,0,3,4,0,1,1000000,2,0,0,0,0,0,1,1,1,2024,11,2008
250,2,0,0,0,1,35000000,0,1,0,0,1,0,1,0,0,2013,1,2010
251,4,3,5,12,7,88651133,5,0,1,1,1,1,3,1,1,2024,11,2005
252,5,0,0,3,1,26000000,0,0,0,0,0,0,2,1,1,2024,11,2005
253,0,0,0,3,1,100000,2,0,0,0,0,0,1,0,0,2011,1,2011
254,1,3,4,6,1,5000000,3,1,1,0,0,0,1,1,1,2024,11,2006
255,8,0,0,5,2,7300000,0,1,1,0,0,0,3,1,0,2024,11,2006
256,6,4,10,8,3,64080000,2,0,1,1,1,0,4,1,1,2024,11,2005
257,1,0,1,8,2,5800000,2,1,1,0,0,0,4,1,1,2024,11,2011
258,5,5,6,6,4,89500000,2,0,0,1,1,0,1,1,0,2024,11,2008
259,5,3,4,11,4,23350000,2,0,1,1,0,0,3,1,1,2024,11,2007
260,5,0,0,7,2,13500000,0,0,0,0,1,0,2,1,1,2024,11,2006
261,8,11,11,13,2,24500000,2,0,0,0,0,0,5,1,1,2024,11,2007
262,3,3,3,2,1,10000000,1,0,0,0,1,0,4,1,0,2013,4,2005
263,-1,0,0,3,1,8500000,0,1,0,0,0,0,1,0,0,2024,11,2005
264,16,0,0,0,1,6000000,0,0,0,1,0,0,3,0,0,2011,12,2008
265,1,1,1,3,1,2000000,1,0,1,0,0,0,2,1,1,2024,11,2009
266,1,0,1,3,2,4100000,2,0,1,0,0,0,1,1,1,2024,11,2011
267,0,1,8,5,1,6200000,4,0,1,0,0,0,2,1,1,2024,11,2005
268,5,4,4,8,2,12250000,1,0,0,1,1,0,2,1,1,2024,11,2007
269,5,5,8,3,2,11725600,2,0,1,1,0,0,2,1,1,2024,11,2006
270,5,0,0,1,2,16000000,0,0,1,1,0,0,3,1,0,2024,11,2005
271,4,3,4,10,3,5056559,2,1,1,0,0,0,1,1,1,2024,11,2009
272,0,6,8,9,1,100000,3,0,0,0,0,0,1,1,1,2024,11,2005
273,6,4,8,11,3,68200000,3,0,0,0,0,0,4,1,1,2024,11,2004
274,9,6,6,5,3,33000000,1,0,0,1,0,1,3,1,1,2024,11,2005
275,3,2,2,8,3,3352194,2,1,1,0,0,0,9,0,0,2013,1,2010
276,1,0,1,5,2,2212000,2,0,1,0,0,0,3,1,1,2024,11,2011
277,7,0,0,1,4,19800000,0,0,0,0,0,1,5,1,1,2024,11,2009
278,1,1,1,6,2,4500000,2,0,1,0,0,0,3,1,0,2013,1,2010
279,4,4,4,2,2,14000000,1,0,0,1,0,0,1,1,1,2024,11,2008
280,0,0,0,4,1,100000,2,1,0,0,0,0,1,0,0,2013,1,2011
281,3,3,5,4,2,9900000,2,0,1,1,0,0,2,1,1,2024,11,2006
282,5,5,5,10,3,7600000,2,0,1,1,0,0,5,1,1,2024,11,2008
283,0,0,0,2,1,50000,1,0,0,0,0,0,2,0,0,2012,4,2008
284,0,0,0,3,1,650000,0,0,0,0,0,0,1,0,0,2024,11,2007
285,2,2,2,8,3,10500000,3,0,1,1,0,0,2,1,0,2011,1,2008
286,0,0,0,12,1,500000,2,0,0,0,0,0,1,0,1,2024,11,2012
287,4,2,10,2,2,24300000,3,0,0,1,1,0,2,1,1,2024,11,2004
288,7,7,7,6,2,18000000,1,0,0,1,0,0,4,1,0,2009,12,2006
289,3,3,6,27,3,26000000,5,0,1,1,1,0,3,1,1,2024,11,2007
290,5,0,0,2,2,9500000,0,0,0,1,0,0,3,1,0,2012,1,2007
291,7,5,5,6,1,16980999,1,1,0,1,0,0,1,1,1,2024,11,2007
292,1,1,3,2,1,5000000,2,0,1,0,0,0,3,0,0,2009,3,2005
293,1,0,0,3,1,350000,0,1,0,0,0,0,1,0,0,2012,1,2008
294,4,1,1,1,5,13130000,1,0,1,0,0,0,2,1,0,2013,1,2007
295,2,0,2,1,1,20000000,2,1,1,0,0,0,1,0,0,2011,1,2010
296,3,2,6,18,3,26500000,4,0,1,1,0,0,2,1,1,2024,11,2006
297,4,0,0,4,2,15000000,0,0,0,1,0,0,5,1,1,2024,11,2005
298,4,0,0,0,1,2600000,0,1,1,0,0,0,1,0,0,2024,11,2006
299,6,0,0,1,4,21470000,0,0,1,1,0,0,3,1,0,2024,11,2006
300,0,0,0,5,1,20000,2,0,0,0,0,0,1,0,0,2012,1,2010
301,2,2,6,10,2,3600000,3,0,1,0,0,0,1,0,0,2024,11,2006
302,7,8,8,23,7,27300000,4,0,1,1,1,1,2,1,1,2024,11,2006
303,0,1,1,8,1,2600000,1,0,1,0,0,0,2,0,1,2024,11,2012
304,0,0,1,5,1,5000000,2,0,1,0,0,0,1,1,0,2010,1,2010
305,6,3,6,2,2,17000000,2,0,1,1,0,0,3,1,1,2024,11,2008
306,4,0,0,0,1,662000,0,1,1,0,0,0,3,0,0,2013,1,2012
307,1,2,2,12,2,3750000,2,0,1,0,0,0,4,1,1,2024,11,2010
308,6,5,9,57,4,45000000,8,0,1,1,1,1,4,1,1,2024,11,2005
309,5,2,6,9,2,6700000,4,0,0,0,0,0,8,1,1,2024,11,2011
310,3,2,4,12,3,20750000,2,0,1,1,0,0,2,1,1,2024,11,2006
311,7,0,0,5,4,19000000,0,0,1,1,1,0,2,1,1,2024,11,2007
312,0,0,0,20,3,22500000,0,0,1,0,0,0,4,1,1,2024,11,2006
313,3,2,3,10,3,7300000,3,0,1,1,0,0,2,1,1,2024,11,2005
314,7,4,5,16,7,26390819,3,1,1,1,0,0,1,1,0,2024,11,2005
315,4,0,0,4,1,10000000,0,1,0,0,1,0,3,1,1,2024,11,2009
316,0,0,0,1,1,31000,1,0,0,0,0,0,2,0,0,2013,1,2010
317,2,1,6,16,3,21500000,4,0,1,1,0,0,3,1,1,2024,11,2007
318,4,6,6,5,1,4000000,1,1,0,0,0,0,5,1,1,2024,11,2006
319,3,2,4,5,3,9400000,4,0,1,1,0,0,4,1,1,2024,11,2007
320,2,1,4,9,3,5600000,4,0,1,1,0,0,2,1,1,2024,11,2007
321,3,3,5,9,2,6000000,2,0,1,1,0,0,2,1,1,2024,11,2008
322,10,10,12,35,4,60704370,3,1,0,1,0,1,2,1,1,2024,11,2002
323,3,3,4,16,3,2000000,2,0,0,0,0,0,3,1,1,2024,11,2010
324,0,0,1,5,2,1000000,3,0,1,0,0,0,5,1,1,2024,11,2009
325,1,0,1,3,2,200000,2,1,1,0,0,0,2,1,0,2024,11,2008
326,1,0,1,2,1,2300000,2,0,1,0,0,0,2,1,0,2011,7,2008
327,2,0,3,5,1,1000000,4,0,1,0,0,0,1,1,0,2024,11,2008
