,state_code,zip_code,city,name,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,closed_at_year,closed_at_month,yyyy,mm,month_name,first_funding_at_year,first_funding_at_month
25,IL,60601,Chicago,BridgePort Networks,2002-01-01,2024-11-22,2006-11-03,2006-11-03,4.8411,4.8411,1.0,1.0,3,1,13000000,1,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1,1,2024,11,2006,11,Nov,2006,11
26,CA,94303,Palo Alto,Scalent Systems,2003-01-01,2024-11-22,2007-01-22,2007-01-22,4.0603,4.0603,3.0027,3.0027,7,1,15000000,1,1,0,0,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,1,2024,11,2007,1,Jan,2007,1
27,CA,94704,Berkeley,IQ Engines,2008-06-01,2024-11-22,2012-06-25,2012-06-25,4.0685,4.0685,3.4192,5.2301,2,1,3800000,3,1,0,0,0,0,photo_video,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,1,2024,11,2012,6,Jun,2012,6
28,TX,78701,Austin,"RetailMeNot, Inc.",2007-05-01,2024-11-22,2009-11-01,2011-11-10,2.5068,4.5315,4.9315,5.6767,37,5,299500000,2,0,0,0,1,0,web,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1.75,1,1,2024,11,2011,11,Nov,2009,11
29,CA,92705,Santa Ana,Mophie,2005-05-24,2024-11-22,2006-08-01,2006-08-01,1.189,1.189,2.189,7.7753,5,1,1000000,3,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,1,1,2024,11,2006,8,Aug,2006,8
30,CA,94035,Moffett Field,Airship Ventures,2007-01-01,2024-11-22,2008-05-09,2009-03-01,1.3534,2.1644,4.5178,4.5178,3,2,10500000,1,1,0,0,0,0,other,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.0,1,0,2024,11,2009,3,Mar,2008,5
31,WA,98119,Seattle,Lockdown Networks,2001-01-01,2024-11-22,2005-02-25,2006-03-02,4.1534,5.1671,3.0,3.0,6,2,8600000,1,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.5,1,1,2024,11,2006,3,Mar,2005,2
32,NC,27701,Durham,eMinor,2006-10-01,2024-11-22,2006-08-01,2008-10-07,-0.1671,2.0192,0,0,9,2,5000000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,0,2024,11,2008,10,Oct,2006,8
33,CA,94105,San Francisco,Karma,2011-01-01,2024-11-22,2011-01-01,2011-11-14,0.0,0.8685,0.4137,2.1671,3,2,2304999,2,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,1,2024,11,2011,11,Nov,2011,1
34,PA,15219,Pittsburgh,Zipano,2009-06-01,2024-11-22,2009-07-01,2009-07-01,0.0822,0.0822,0,0,2,1,25000,0,0,0,0,0,1,security,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,2024,11,2009,7,Jul,2009,7
35,NY,10011,New York,Entertainment Media Works,2004-07-01,2008-01-10,2007-02-26,2007-02-26,2.6575,2.6575,0.0,0.0,1,1,4000000,1,0,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1,0,2008,1,2007,2,Feb,2007,2
36,CA,94111,San Francisco,Elastra,2007-01-01,2024-11-22,2007-08-15,2008-08-05,0.6192,1.5945,1.0,4.3315,8,2,14600000,3,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,0,2024,11,2008,8,Aug,2007,8
37,CA,95134,San Jose,RPO,2005-01-01,2013-01-06,2006-01-24,2010-09-13,1.063,5.7014,0,0,0,3,44000000,0,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4.5,1,0,2013,1,2010,9,Sep,2006,1
38,CA,94107,San Francisco,Fotomoto,2008-10-01,2024-11-22,2008-12-01,2011-05-26,0.1671,2.6493,0.6082,4.7507,10,3,1822922,3,1,0,0,0,0,ecommerce,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2.3333,1,1,2024,11,2011,5,May,2008,12
39,NY,10010,New York,Peer39,2006-03-01,2024-11-22,2006-03-01,2012-01-24,0.0,5.9041,3.8411,7.1370000000000005,18,7,29915001,5,0,1,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2.75,1,1,2024,11,2012,1,Jan,2006,3
40,GA,30303,Atlanta,Vitrue,2006-05-01,2024-11-22,2006-05-01,2011-02-17,0.0,4.8027,3.7205,7.6164,26,4,33000000,5,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3.0,1,1,2024,11,2011,2,Feb,2006,5
41,NH,3101,Manchester,Trendslide,2011-08-01,2024-11-22,2011-08-01,2012-03-01,0.0,0.5836,0.5836,0.5945,9,2,125000,2,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,1,2024,11,2012,3,Mar,2011,8
42,CA,94025,Menlo Park,PublicEarth,2008-01-01,2024-11-22,2008-02-08,2010-05-21,0.1041,2.3863,2.3315,2.7918,7,2,4000000,2,1,0,0,0,0,travel,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,1,0,2024,11,2010,5,May,2008,2
43,WA,98102,Seattle,Azaleos,2004-05-11,2024-11-22,2007-11-06,2007-11-06,3.4904,3.4904,5.6603,8.3425,10,1,10000000,3,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1,1,2024,11,2007,11,Nov,2007,11
44,CA,94089,Sunnyvale,Efficient Frontier,2002-01-01,2024-11-22,2006-08-31,2006-08-31,4.6658,4.6658,8.7425,10.2247,25,1,6000000,4,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.0,1,1,2024,11,2006,8,Aug,2006,8
45,CA,94085,Sunnyvale,NetDevices,2003-01-01,2024-11-22,2005-08-16,2005-08-16,2.6247,2.6247,0,0,4,1,25000000,0,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,1,1,2024,11,2005,8,Aug,2005,8
46,NY,100011,New York,Go Try It On,2009-12-01,2024-11-22,2010-11-04,2012-11-13,0.926,2.9534,0.8329,2.7425,2,3,3750000,3,0,1,0,0,0,fashion,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2.0,1,1,2024,11,2012,11,Nov,2010,11
47,MA,2139,Cambridge,Performable,2009-10-17,2024-11-22,2010-01-15,2010-01-15,0.2466,0.2466,1.1178,1.663,9,1,3000000,2,0,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,1,2024,11,2010,1,Jan,2010,1
48,CA,94607,San Francisco,Appstores.com,2010-05-24,2024-11-22,2010-08-01,2011-08-01,0.189,1.189,1.3562,1.6575,6,2,1155000,2,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,1,1,2024,11,2011,8,Aug,2010,8
49,CA,94404,San Mateo,Fortify Software,2002-10-01,2024-11-22,2005-12-15,2005-12-15,3.2082,3.2082,5.2548,7.8822,11,1,10000000,2,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1,1,2024,11,2005,12,Dec,2005,12
50,CA,94080,South San Francisco,iCurrent,2006-01-01,2024-11-22,2008-08-01,2008-08-01,2.5836,2.5836,2.0,2.0,5,1,3000000,1,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,1,2024,11,2008,8,Aug,2008,8
51,MA,2210,Boston,AisleBuyer,2009-01-01,2024-11-22,2010-11-23,2011-06-13,1.8932,2.4466,2.0,3.2767,4,2,11500000,3,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,2024,11,2011,6,Jun,2010,11
52,TX,78731,Austin,Indeed,2004-11-01,2024-11-22,2005-08-01,2005-08-01,0.7479,0.7479,4.0493,8.3233,12,1,5000000,5,0,0,0,1,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,1,2024,11,2005,8,Aug,2005,8
53,MA,2451,Waltham,Colubris Networks,2000-01-01,2024-11-22,2005-03-08,2006-10-23,5.1863,6.8137,7.3342,7.3342,9,2,29000000,1,0,0,1,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5.0,1,1,2024,11,2006,10,Oct,2005,3
54,CA,94103,San Francisco,Mashery,2006-05-01,2024-11-22,2007-01-01,2012-07-23,0.6712,6.2329,4.0493,7.5973,37,6,34700000,4,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,5.0,1,1,2024,11,2012,7,Jul,2007,1
55,CA,94301,Palo Alto,Transparency Software,2004-01-01,2009-01-01,2005-03-09,2007-07-01,1.1863,3.4986,0,0,0,2,12050000,0,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,0,2009,1,2007,7,Jul,2005,3
56,CA,95128,Palo Alto,Viewdle,2006-01-01,2024-11-22,2008-03-01,2010-10-05,2.1644,4.7616,4.0027,6.7534,13,3,12000000,2,1,0,0,0,0,analytics,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.0,1,1,2024,11,2010,10,Oct,2008,3
57,CA,92656,Aliso Viejo,Enclarity,2005-02-01,2024-11-22,2009-03-10,2009-03-10,4.1041,4.1041,1.9151,1.9151,18,1,5500000,1,1,0,0,0,0,consulting,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0,1,1,2024,11,2009,3,Mar,2009,3
58,CA,94089,Sunnyvale,Virsto Software,2007-07-01,2024-11-22,2009-06-26,2011-08-25,1.989,4.1534,2.8986,5.2575,10,3,24000000,4,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.3333,1,1,2024,11,2011,8,Aug,2009,6
59,MO,64106,Kansas City,Handmark,2000-07-01,2024-11-22,2005-09-12,2006-09-07,5.2027,6.189,7.5068,12.8932,6,2,10000000,2,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4.5,1,1,2024,11,2006,9,Sep,2005,9
60,MA,1887,Wilmington,Viacor,1999-12-01,2011-11-11,2002-09-12,2010-11-10,2.7836,10.9507,-1.9151,-1.9151,10,3,19009671,1,0,0,1,0,0,biotech,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2.0,1,0,2011,11,2010,11,Nov,2002,9
61,CA,94111,San Francisco,Carbonetworks,2005-01-01,2024-11-22,2008-07-01,2008-07-01,3.4986,3.4986,3.0,3.0,6,1,5000000,1,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,1,0,2024,11,2008,7,Jul,2008,7
62,WA,98033-6314,Kirkland,SchemaLogic,2001-01-01,2024-11-22,2005-01-17,2010-04-20,4.0466,9.3041,6.0027,6.0027,2,5,18914576,1,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3.0,1,1,2024,11,2010,4,Apr,2005,1
63,FL,33609,Tampa,Skyway Software,2001-01-01,2012-01-10,2007-05-16,2007-05-16,6.3726,6.3726,0,0,0,1,4000000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0,0,2012,1,2007,5,May,2007,5
64,MA,02111-1720,Boston,CardStar,2008-12-01,2024-11-22,2010-03-30,2011-09-13,1.3259999999999998,2.7836,1.6740000000000002,3.1342,5,3,2030882,2,0,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,1,2024,11,2011,9,Sep,2010,3
65,CA,94501,Alameda,Makani Power,2006-01-01,2024-11-22,2008-08-23,2008-08-23,2.6438,2.6438,0.0,7.3918,4,1,5000000,2,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.0,1,1,2024,11,2008,8,Aug,2008,8
66,WA,98011,Bothell,Myrio,1999-12-01,2012-01-01,2001-01-01,2001-01-01,1.0877,1.0877,0,0,5,1,20500000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,0,2012,1,2001,1,Jan,2001,1
67,CO,80302,Boulder,Intela,2006-02-02,2024-11-22,2010-01-18,2012-08-09,3.9616,6.5205,4.5781,7.6877,4,2,13250000,4,0,0,0,0,1,advertising,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.0,0,1,2024,11,2012,8,Aug,2010,1
68,CA,94403-1855,San Mateo,Sana Security,2000-01-01,2024-11-22,2007-04-02,2007-04-02,7.2548,7.2548,7.0055,7.0055,7,1,12000000,1,1,0,0,0,0,security,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,1,1,2024,11,2007,4,Apr,2007,4
69,CA,94104,San Francisco,Sportgenic,2005-09-01,2024-11-22,2007-01-01,2008-09-09,1.3342,3.0247,3.0219,3.337,9,3,11489687,2,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3.3333,1,1,2024,11,2008,9,Sep,2007,1
70,CA,94105,San Francisco,Lolapps,2008-01-01,2024-11-22,2008-09-05,2008-09-05,0.6795,0.6795,2.9178,4.2274,15,1,4000000,3,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,1,2024,11,2008,9,Sep,2008,9
71,CA,94087,Sunnyvale,Behavio,2012-06-12,2024-11-22,2012-06-01,2012-06-01,-0.0301,-0.0301,0.1369999999999999,0.1369999999999999,3,1,355000,1,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,1,2024,11,2012,6,Jun,2012,6
72,FL,33626,Tampa,Infinity Box,2006-01-01,2024-11-22,2006-01-01,2006-04-01,0.0,0.2466,2.4164,5.3151,10,2,118000,3,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,1,1,2024,11,2006,4,Apr,2006,1
73,CA,94103,San Francisco,adBrite,2003-01-01,2001-01-02,2004-09-01,2012-05-01,1.6685,9.337,7.3808,10.474,17,4,40400000,3,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1.6667,1,1,2001,1,2012,5,May,2004,9
74,TX,75001,Dallas,Texert,2007-01-01,2024-11-22,2008-10-21,2008-10-21,1.8055,1.8055,0,0,1,1,3000000,0,0,0,0,1,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,0,2024,11,2008,10,Oct,2008,10
75,CA,94538,Fremont,Mendocino Software,2003-01-01,2008-07-02,2005-09-12,2007-01-01,2.6986,4.0027,1.0,1.0,2,2,19700000,1,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0,1,0,2008,7,2007,1,Jan,2005,9
76,CA,95051,Santa Clara,QuikCycle,1998-01-01,2011-01-01,2007-03-01,2007-03-12,9.1671,9.1973,0,0,0,2,17800000,0,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,0,2011,1,2007,3,Mar,2007,3
77,CA,94107,San Francisco,Instagram,2010-03-01,2024-11-22,2010-03-05,2012-04-05,0.011,2.0986,3.0904,3.7836,12,3,57500000,3,1,0,0,0,0,photo_video,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,4.0,1,1,2024,11,2012,4,Apr,2010,3
78,NY,10004,New York,Motionbox,2006-01-01,2024-11-22,2006-09-01,2009-01-14,0.6658,3.0384,2.0,5.0548,10,3,17200000,5,0,1,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2.6667,1,1,2024,11,2009,1,Jan,2006,9
79,MA,2138,Cambridge,AccelGolf,2008-08-01,2013-01-05,2008-01-01,2009-12-04,-0.5836,1.3425,0.0,1.5479,4,7,457282,2,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1,0,2013,1,2009,12,Dec,2008,1
80,CA,94105,San Francisco,MoPub,2010-09-09,2024-11-22,2010-09-01,2012-09-20,-0.0219,2.0329,2.3151,3.1644,11,4,18500000,3,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2.25,1,1,2024,11,2012,9,Sep,2010,9
81,NJ,8540,Princeton,DNP Green Technology,2008-01-01,2024-11-22,2010-01-17,2010-01-17,2.0466,2.0466,0,0,2,1,12000000,0,0,0,0,0,1,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6.0,1,0,2024,11,2010,1,Jan,2010,1
82,CO,80538,Loveland,Abound Solar,2007-01-01,2012-01-11,2010-07-06,2010-12-15,3.5123,3.9562,3.9534,4.8356,5,2,510000000,3,0,0,0,0,1,cleantech,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.5,1,0,2012,1,2010,12,Dec,2010,7
83,CA,94043,Mountain View,Trovix,2002-01-01,2024-11-22,2005-12-07,2006-09-06,3.9342,4.6822,4.0027,4.0027,3,2,18250000,1,1,0,0,0,0,search,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,1,2024,11,2006,9,Sep,2005,12
84,NY,10012,New York,Thumbplay,2004-09-01,2024-11-22,2006-10-30,2010-04-21,2.1616,5.6384,3.8329,7.6932,13,4,41500019,5,0,1,0,0,0,music,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,1,2024,11,2010,4,Apr,2006,10
85,WV,25430,Kearneysville,Plethora Technology,2000-01-01,2024-11-22,2005-06-09,2005-06-09,5.4411,5.4411,0,0,1,1,1000000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,2024,11,2005,6,Jun,2005,6
86,CA,90025,Los Angeles,DailyStrength,2006-04-01,2024-11-22,2007-05-18,2007-05-18,1.1288,1.1288,1.0,2.6767,7,1,5000000,2,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,1,2024,11,2007,5,May,2007,5
87,MI,48187,Canton,Danotek Motion Technologies,2001-01-01,2013-01-05,2008-11-19,2011-08-30,7.8877,10.6658,0.4137,0.4137,2,3,42700000,1,0,0,0,0,1,cleantech,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.6667,1,0,2013,1,2011,8,Aug,2008,11
88,CA,94041,Mountain View,Yub,2013-01-01,2005-01-01,2013-11-19,2013-11-19,0.8822,0.8822,0,0,7,1,12000000,0,1,0,0,0,0,ecommerce,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9.0,1,0,2005,1,2013,11,Nov,2013,11
